solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_GUB_COVER;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;3Cap10.txt;120;119,89;1,1627910785052322;5996;3053,3;3017,7965;200;7070;14040;200;7070;14040;3001,9109;6656,6;3001,9109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap10.txt;300;10,19;0;8719,0;3053,3;3053,0014408;200;7070;14040;200;2567;5034;0,0;35485,3;0,0;3016,3991;3128,5;1,97;103;479;10;13;;33;;33;103;479;10;13;;;33;;33;103;479;10;13;;;;33;;33;103;479;10;13;;33;;33
GUROBI;3Cap10.txt;300;14,54;0;14158,0;3053,3;3053,3;200;7070;14040;200;7070;14040;2337,1;7433,9;2337,1;2999,55841;3166,9;0,0;49;155;130;37;;122;28;11;49;155;130;37;;;122;28;11;49;155;130;37;;;;122;28;11;49;155;130;37;;122;28;11
CBC;3Cap10.txt;300;129,09;0;6406;3053,3;3053,3;200;7070;14040;200;7070;14040;3001,9109;6656,6;3001,9109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap10.txt;600;10,2;0;8719,0;3053,3;3053,0014408;200;7070;14040;200;2567;5034;0,0;35485,3;0,0;3016,3991;3128,5;1,98;103;479;10;13;;33;;33;103;479;10;13;;;33;;33;103;479;10;13;;;;33;;33;103;479;10;13;;33;;33
GUROBI;3Cap10.txt;600;14,47;0;14158,0;3053,3;3053,3;200;7070;14040;200;7070;14040;2337,1;7433,9;2337,1;2999,55841;3166,9;0,0;49;155;130;37;;122;28;11;49;155;130;37;;;122;28;11;49;155;130;37;;;;122;28;11;49;155;130;37;;122;28;11
CBC;3Cap10.txt;600;129,66;0;6406;3053,3;3053,3;200;7070;14040;200;7070;14040;3001,9109;6656,6;3001,9109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap20.txt;120;29,19;0;25696,0;2279,9;2279,673034;200;7070;14040;200;7046;13992;0,0;56063,3;0,0;2205,9664;2438,3;2,07;171;741;10;6;;52;;45;171;741;10;6;;;52;;45;171;741;10;6;;;;52;;45;171;741;10;6;;52;;45
GUROBI;3Cap20.txt;120;111,97;0;104391,0;2279,9;2279,9;200;7070;14040;200;7070;14040;1460,9;6406,7;1460,9;2187,74721;2469,2;0,0;115;264;143;35;;198;62;4;115;264;143;35;;;198;62;4;115;264;143;35;;;;198;62;4;115;264;143;35;;198;62;4
CBC;3Cap20.txt;120;119,92;4,279464713831138;4518;2294,1;2195,9248;200;7070;14040;200;7070;14040;2195,9248;6046,6;2195,9248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap20.txt;300;29,69;0;25696,0;2279,9;2279,673034;200;7070;14040;200;7046;13992;0,0;56063,3;0,0;2205,9664;2438,3;2,09;171;741;10;6;;52;;45;171;741;10;6;;;52;;45;171;741;10;6;;;;52;;45;171;741;10;6;;52;;45
GUROBI;3Cap20.txt;300;111,94;0;104391,0;2279,9;2279,9;200;7070;14040;200;7070;14040;1460,9;6406,7;1460,9;2187,74721;2469,2;0,0;115;264;143;35;;198;62;4;115;264;143;35;;;198;62;4;115;264;143;35;;;;198;62;4;115;264;143;35;;198;62;4
CBC;3Cap20.txt;300;299,83;1,6340220565799262;11570;2294,1;2256,6139;200;7070;14040;200;7070;14040;2195,9248;6046,6;2195,9248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap20.txt;600;29,55;0;25696,0;2279,9;2279,673034;200;7070;14040;200;7046;13992;0,0;56063,3;0,0;2205,9664;2438,3;2,08;171;741;10;6;;52;;45;171;741;10;6;;;52;;45;171;741;10;6;;;;52;;45;171;741;10;6;;52;;45
GUROBI;3Cap20.txt;600;112,11;0;104391,0;2279,9;2279,9;200;7070;14040;200;7070;14040;1460,9;6406,7;1460,9;2187,74721;2469,2;0,0;115;264;143;35;;198;62;4;115;264;143;35;;;198;62;4;115;264;143;35;;;;198;62;4;115;264;143;35;;198;62;4
CBC;3Cap20.txt;600;443,26;0;16398;2279,9;2279,9;200;7070;14040;200;7070;14040;2195,9248;6046,6;2195,9248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap30.txt;120;24,36;0;16950,0;2053,4;2053,2061617;200;7070;14040;200;7070;14040;0,0;75715,5;0,0;1947,8687;2180,6;2,21;208;605;23;21;;102;;61;208;605;23;21;;;102;;61;208;605;23;21;;;;102;;61;208;605;23;21;;102;;61
GUROBI;3Cap30.txt;120;32,7;0;24035,0;2053,4;2053,4;200;7070;14040;200;7070;14040;1117,7;6297,5;1117,7;1932,66138;2375,3;0,0;208;411;20;28;;101;31;3;208;411;20;28;;;101;31;3;208;411;20;28;;;;101;31;3;208;411;20;28;;101;31;3
CBC;3Cap30.txt;120;119,99;5,284787265115369;3942;2054,2;1945,6399;200;7070;14040;200;7070;14040;1945,6399;6400,9;1945,6399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap30.txt;300;23,84;0;16950,0;2053,4;2053,2061617;200;7070;14040;200;7070;14040;0,0;75715,5;0,0;1947,8687;2180,6;2,21;208;605;23;21;;102;;61;208;605;23;21;;;102;;61;208;605;23;21;;;;102;;61;208;605;23;21;;102;;61
GUROBI;3Cap30.txt;300;32,5;0;24035,0;2053,4;2053,4;200;7070;14040;200;7070;14040;1117,7;6297,5;1117,7;1932,66138;2375,3;0,0;208;411;20;28;;101;31;3;208;411;20;28;;;101;31;3;208;411;20;28;;;;101;31;3;208;411;20;28;;101;31;3
CBC;3Cap30.txt;300;279,71;0;8325;2053,4;2053,4;200;7070;14040;200;7070;14040;1945,6399;6400,9;1945,6399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap30.txt;600;24,65;0;16950,0;2053,4;2053,2061617;200;7070;14040;200;7070;14040;0,0;75715,5;0,0;1947,8687;2180,6;2,18;208;605;23;21;;102;;61;208;605;23;21;;;102;;61;208;605;23;21;;;;102;;61;208;605;23;21;;102;;61
GUROBI;3Cap30.txt;600;32,68;0;24035,0;2053,4;2053,4;200;7070;14040;200;7070;14040;1117,7;6297,5;1117,7;1932,66138;2375,3;0,0;208;411;20;28;;101;31;3;208;411;20;28;;;101;31;3;208;411;20;28;;;;101;31;3;208;411;20;28;;101;31;3
CBC;3Cap30.txt;600;278,61;0;8325;2053,4;2053,4;200;7070;14040;200;7070;14040;1945,6399;6400,9;1945,6399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap40.txt;120;23,02;0;16258,0;1990,3;1990,1125934;200;7070;14040;200;7070;14040;0,0;94608,8;0,0;1880,22;2172,1;3,5;256;628;18;19;;75;;21;256;628;18;19;;;75;;21;256;628;18;19;;;;75;;21;256;628;18;19;;75;;21
GUROBI;3Cap40.txt;120;16,88;0;7880,0;1990,3;1990,3;200;7070;14040;200;7070;14040;924,7;6026,8;924,7;1844,9262;2427,4;0,0;233;428;14;30;;103;46;;233;428;14;30;;;103;46;;233;428;14;30;;;;103;46;;233;428;14;30;;103;46;
CBC;3Cap40.txt;120;119,95;6,6176657719455205;3635;2011,8;1878,6658;200;7070;14040;200;7070;14040;1878,6658;6327,8;1878,6658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap40.txt;300;24,0;0;16258,0;1990,3;1990,1125934;200;7070;14040;200;7070;14040;0,0;94608,8;0,0;1880,22;2172,1;3,51;256;628;18;19;;75;;21;256;628;18;19;;;75;;21;256;628;18;19;;;;75;;21;256;628;18;19;;75;;21
GUROBI;3Cap40.txt;300;17,19;0;7880,0;1990,3;1990,3;200;7070;14040;200;7070;14040;924,7;6026,8;924,7;1844,9262;2427,4;0,0;233;428;14;30;;103;46;;233;428;14;30;;;103;46;;233;428;14;30;;;;103;46;;233;428;14;30;;103;46;
CBC;3Cap40.txt;300;299,87;4,4585590112043345;9841;1990,3;1901,5613;200;7070;14040;200;7070;14040;1878,6658;6327,8;1878,6658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap40.txt;600;23,56;0;16258,0;1990,3;1990,1125934;200;7070;14040;200;7070;14040;0,0;94608,8;0,0;1880,22;2172,1;3,52;256;628;18;19;;75;;21;256;628;18;19;;;75;;21;256;628;18;19;;;;75;;21;256;628;18;19;;75;;21
GUROBI;3Cap40.txt;600;17,16;0;7880,0;1990,3;1990,3;200;7070;14040;200;7070;14040;924,7;6026,8;924,7;1844,9262;2427,4;0,0;233;428;14;30;;103;46;;233;428;14;30;;;103;46;;233;428;14;30;;;;103;46;;233;428;14;30;;103;46;
CBC;3Cap40.txt;600;314,09;0;10245;1990,3;1990,3;200;7070;14040;200;7070;14040;1878,6658;6327,8;1878,6658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap50.txt;120;19,48;0;14186,0;1989,9;1989,7088689;200;7070;14040;200;7070;14040;0,0;114135,5;0,0;1869,1345;2177,6;3,76;317;578;10;6;;77;;29;317;578;10;6;;;77;;29;317;578;10;6;;;;77;;29;317;578;10;6;;77;;29
GUROBI;3Cap50.txt;120;26,39;0;14873,0;1989,9;1989,9;200;7070;14040;200;7070;14040;800,5;5975,0;800,5;1834,85007;2340,7;0,0;279;502;21;36;;122;52;2;279;502;21;36;;;122;52;2;279;502;21;36;;;;122;52;2;279;502;21;36;;122;52;2
CBC;3Cap50.txt;120;119,94;6,287162772038914;3291;1994,2;1868,8214;200;7070;14040;200;7070;14040;1868,8214;6268,2;1868,8214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap50.txt;300;19,32;0;14186,0;1989,9;1989,7088689;200;7070;14040;200;7070;14040;0,0;114135,5;0,0;1869,1345;2177,6;3,72;317;578;10;6;;77;;29;317;578;10;6;;;77;;29;317;578;10;6;;;;77;;29;317;578;10;6;;77;;29
GUROBI;3Cap50.txt;300;26,25;0;14873,0;1989,9;1989,9;200;7070;14040;200;7070;14040;800,5;5975,0;800,5;1834,85007;2340,7;0,0;279;502;21;36;;122;52;2;279;502;21;36;;;122;52;2;279;502;21;36;;;;122;52;2;279;502;21;36;;122;52;2
CBC;3Cap50.txt;300;168,91;0;4506;1989,9;1989,9;200;7070;14040;200;7070;14040;1868,8214;6268,2;1868,8214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;3Cap50.txt;600;19,42;0;14186,0;1989,9;1989,7088689;200;7070;14040;200;7070;14040;0,0;114135,5;0,0;1869,1345;2177,6;3,76;317;578;10;6;;77;;29;317;578;10;6;;;77;;29;317;578;10;6;;;;77;;29;317;578;10;6;;77;;29
GUROBI;3Cap50.txt;600;26,26;0;14873,0;1989,9;1989,9;200;7070;14040;200;7070;14040;800,5;5975,0;800,5;1834,85007;2340,7;0,0;279;502;21;36;;122;52;2;279;502;21;36;;;122;52;2;279;502;21;36;;;;122;52;2;279;502;21;36;;122;52;2
CBC;3Cap50.txt;600;169,25;0;4506;1989,9;1989,9;200;7070;14040;200;7070;14040;1868,8214;6268,2;1868,8214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap10.txt;120;14,59;0;14667,0;2943,1;2942,8062511;200;7110;14120;200;2489;4878;0,0;35522,8;0,0;2899,4758;2972,4;3,58;73;590;13;12;;55;;56;73;590;13;12;;;55;;56;73;590;13;12;;;;55;;56;73;590;13;12;;55;;56
GUROBI;4Cap10.txt;120;38,27;0;38727,0;2943,1;2943,1;200;7110;14120;200;7110;14120;2168,6;6676,8;2168,6;2870,67988;3049,9;0,0;45;149;188;35;;146;40;15;45;149;188;35;;;146;40;15;45;149;188;35;;;;146;40;15;45;149;188;35;;146;40;15
CBC;4Cap10.txt;120;119,91;2,291623925817727;6376;2944,1;2876,6323;200;7110;14120;200;7110;14120;2876,6323;3507,0;2876,6323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap10.txt;300;14,56;0;14667,0;2943,1;2942,8062511;200;7110;14120;200;2489;4878;0,0;35522,8;0,0;2899,4758;2972,4;3,55;73;590;13;12;;55;;56;73;590;13;12;;;55;;56;73;590;13;12;;;;55;;56;73;590;13;12;;55;;56
GUROBI;4Cap10.txt;300;38,19;0;38727,0;2943,1;2943,1;200;7110;14120;200;7110;14120;2168,6;6676,8;2168,6;2870,67988;3049,9;0,0;45;149;188;35;;146;40;15;45;149;188;35;;;146;40;15;45;149;188;35;;;;146;40;15;45;149;188;35;;146;40;15
CBC;4Cap10.txt;300;289,43;0;15709;2943,1;2943,1;200;7110;14120;200;7110;14120;2876,6323;3507,0;2876,6323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap10.txt;600;14,62;0;14667,0;2943,1;2942,8062511;200;7110;14120;200;2489;4878;0,0;35522,8;0,0;2899,4758;2972,4;3,59;73;590;13;12;;55;;56;73;590;13;12;;;55;;56;73;590;13;12;;;;55;;56;73;590;13;12;;55;;56
GUROBI;4Cap10.txt;600;38,23;0;38727,0;2943,1;2943,1;200;7110;14120;200;7110;14120;2168,6;6676,8;2168,6;2870,67988;3049,9;0,0;45;149;188;35;;146;40;15;45;149;188;35;;;146;40;15;45;149;188;35;;;;146;40;15;45;149;188;35;;146;40;15
CBC;4Cap10.txt;600;289,0;0;15709;2943,1;2943,1;200;7110;14120;200;7110;14120;2876,6323;3507,0;2876,6323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap20.txt;120;16,35;0;13778,0;2183,0;2182,7853196;200;7110;14120;200;6035;11970;0,0;56101,2;0,0;2113,3469;2400,9;2,04;158;743;11;7;;53;;42;158;743;11;7;;;53;;42;158;743;11;7;;;;53;;42;158;743;11;7;;53;;42
GUROBI;4Cap20.txt;120;19,13;0;16094,0;2183,0;2183,0;200;7110;14120;200;7110;14120;1322,4;5731,6;1322,4;2096,67744;2351,3;0,0;113;243;131;30;;131;42;8;113;243;131;30;;;131;42;8;113;243;131;30;;;;131;42;8;113;243;131;30;;131;42;8
CBC;4Cap20.txt;120;119,97;4,088140543007082;5436;2191,5;2101,9084;200;7110;14120;200;7110;14120;2101,9084;6651,1;2101,9084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap20.txt;300;16,31;0;13778,0;2183,0;2182,7853196;200;7110;14120;200;6035;11970;0,0;56101,2;0,0;2113,3469;2400,9;1,99;158;743;11;7;;53;;42;158;743;11;7;;;53;;42;158;743;11;7;;;;53;;42;158;743;11;7;;53;;42
GUROBI;4Cap20.txt;300;19,13;0;16094,0;2183,0;2183,0;200;7110;14120;200;7110;14120;1322,4;5731,6;1322,4;2096,67744;2351,3;0,0;113;243;131;30;;131;42;8;113;243;131;30;;;131;42;8;113;243;131;30;;;;131;42;8;113;243;131;30;;131;42;8
CBC;4Cap20.txt;300;270,19;0;10905;2183,0;2183,0;200;7110;14120;200;7110;14120;2101,9084;6651,1;2101,9084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap20.txt;600;16,31;0;13778,0;2183,0;2182,7853196;200;7110;14120;200;6035;11970;0,0;56101,2;0,0;2113,3469;2400,9;2,01;158;743;11;7;;53;;42;158;743;11;7;;;53;;42;158;743;11;7;;;;53;;42;158;743;11;7;;53;;42
GUROBI;4Cap20.txt;600;19,11;0;16094,0;2183,0;2183,0;200;7110;14120;200;7110;14120;1322,4;5731,6;1322,4;2096,67744;2351,3;0,0;113;243;131;30;;131;42;8;113;243;131;30;;;131;42;8;113;243;131;30;;;;131;42;8;113;243;131;30;;131;42;8
CBC;4Cap20.txt;600;270,1;0;10905;2183,0;2183,0;200;7110;14120;200;7110;14120;2101,9084;6651,1;2101,9084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap30.txt;120;13,57;0;7865,0;2000,8;2000,6363951;200;7110;14120;200;6648;13196;0,0;77273,8;0,0;1888,2604;2197,5;2,23;224;688;11;13;;75;;19;224;688;11;13;;;75;;19;224;688;11;13;;;;75;;19;224;688;11;13;;75;;19
GUROBI;4Cap30.txt;120;19,7;0;12826,0;2000,8;2000,8;200;7110;14120;200;7110;14120;1003,36667;5542,0;1003,36667;1866,48284;2505,3;0,0;196;403;24;22;;100;28;2;196;403;24;22;;;100;28;2;196;403;24;22;;;;100;28;2;196;403;24;22;;100;28;2
CBC;4Cap30.txt;120;119,9;6,911909000989123;4447;2022,0;1882,2412;200;7110;14120;200;7110;14120;1882,2412;6347,8;1882,2412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap30.txt;300;13,67;0;7865,0;2000,8;2000,6363951;200;7110;14120;200;6648;13196;0,0;77273,8;0,0;1888,2604;2197,5;2,27;224;688;11;13;;75;;19;224;688;11;13;;;75;;19;224;688;11;13;;;;75;;19;224;688;11;13;;75;;19
GUROBI;4Cap30.txt;300;19,77;0;12826,0;2000,8;2000,8;200;7110;14120;200;7110;14120;1003,36667;5542,0;1003,36667;1866,48284;2505,3;0,0;196;403;24;22;;100;28;2;196;403;24;22;;;100;28;2;196;403;24;22;;;;100;28;2;196;403;24;22;;100;28;2
CBC;4Cap30.txt;300;282,56;0;9206;2000,8;2000,8;200;7110;14120;200;7110;14120;1882,2412;6347,8;1882,2412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap30.txt;600;13,61;0;7865,0;2000,8;2000,6363951;200;7110;14120;200;6648;13196;0,0;77273,8;0,0;1888,2604;2197,5;2,3;224;688;11;13;;75;;19;224;688;11;13;;;75;;19;224;688;11;13;;;;75;;19;224;688;11;13;;75;;19
GUROBI;4Cap30.txt;600;19,73;0;12826,0;2000,8;2000,8;200;7110;14120;200;7110;14120;1003,36667;5542,0;1003,36667;1866,48284;2505,3;0,0;196;403;24;22;;100;28;2;196;403;24;22;;;100;28;2;196;403;24;22;;;;100;28;2;196;403;24;22;;100;28;2
CBC;4Cap30.txt;600;282,72;0;9206;2000,8;2000,8;200;7110;14120;200;7110;14120;1882,2412;6347,8;1882,2412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap40.txt;120;18,76;0;13825,0;1977,2;1977,020351;200;7110;14120;200;7110;14120;0,0;98356,9;0,0;1833,5005;2135,8;2,84;277;597;16;19;;85;;12;277;597;16;19;;;85;;12;277;597;16;19;;;;85;;12;277;597;16;19;;85;;12
GUROBI;4Cap40.txt;120;31,26;0;25501,0;1977,2;1977,2;200;7110;14120;200;7110;14120;833,2;5312,2;833,2;1807,2025;2454,8;0,0;253;444;25;29;;112;34;1;253;444;25;29;;;112;34;1;253;444;25;29;;;;112;34;1;253;444;25;29;;112;34;1
CBC;4Cap40.txt;120;119,93;7,270592697481545;3749;1977,4;1833,6313;200;7110;14120;200;7110;14120;1833,6313;6517,4;1833,6313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap40.txt;300;18,74;0;13825,0;1977,2;1977,020351;200;7110;14120;200;7110;14120;0,0;98356,9;0,0;1833,5005;2135,8;2,84;277;597;16;19;;85;;12;277;597;16;19;;;85;;12;277;597;16;19;;;;85;;12;277;597;16;19;;85;;12
GUROBI;4Cap40.txt;300;31,18;0;25501,0;1977,2;1977,2;200;7110;14120;200;7110;14120;833,2;5312,2;833,2;1807,2025;2454,8;0,0;253;444;25;29;;112;34;1;253;444;25;29;;;112;34;1;253;444;25;29;;;;112;34;1;253;444;25;29;;112;34;1
CBC;4Cap40.txt;300;265,44;0;7590;1977,2;1977,2;200;7110;14120;200;7110;14120;1833,6313;6517,4;1833,6313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap40.txt;600;18,75;0;13825,0;1977,2;1977,020351;200;7110;14120;200;7110;14120;0,0;98356,9;0,0;1833,5005;2135,8;2,82;277;597;16;19;;85;;12;277;597;16;19;;;85;;12;277;597;16;19;;;;85;;12;277;597;16;19;;85;;12
GUROBI;4Cap40.txt;600;31,01;0;25501,0;1977,2;1977,2;200;7110;14120;200;7110;14120;833,2;5312,2;833,2;1807,2025;2454,8;0,0;253;444;25;29;;112;34;1;253;444;25;29;;;112;34;1;253;444;25;29;;;;112;34;1;253;444;25;29;;112;34;1
CBC;4Cap40.txt;600;264,64;0;7590;1977,2;1977,2;200;7110;14120;200;7110;14120;1833,6313;6517,4;1833,6313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap50.txt;120;15,18;0;11160,0;1974,0;1973,8116364;200;7110;14120;200;7110;14120;0,0;118729,7;0,0;1826,0305;2117,8;3,8;292;600;11;6;;85;;28;292;600;11;6;;;85;;28;292;600;11;6;;;;85;;28;292;600;11;6;;85;;28
GUROBI;4Cap50.txt;120;23,7;0;21542,0;1974,0;1974,0;200;7110;14120;200;7110;14120;722,5;5394,3;722,5;1778,123;2516,7;0,0;272;484;23;38;;121;49;3;272;484;23;38;;;121;49;3;272;484;23;38;;;;121;49;3;272;484;23;38;;121;49;3
CBC;4Cap50.txt;120;119,94;7,086838905775074;3236;1974,0;1834,1058;200;7110;14120;200;7110;14120;1824,4262;6295,6;1824,4262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap50.txt;300;15,11;0;11160,0;1974,0;1973,8116364;200;7110;14120;200;7110;14120;0,0;118729,7;0,0;1826,0305;2117,8;3,75;292;600;11;6;;85;;28;292;600;11;6;;;85;;28;292;600;11;6;;;;85;;28;292;600;11;6;;85;;28
GUROBI;4Cap50.txt;300;23,69;0;21542,0;1974,0;1974,0;200;7110;14120;200;7110;14120;722,5;5394,3;722,5;1778,123;2516,7;0,0;272;484;23;38;;121;49;3;272;484;23;38;;;121;49;3;272;484;23;38;;;;121;49;3;272;484;23;38;;121;49;3
CBC;4Cap50.txt;300;178,11;0;4394;1974,0;1974,0;200;7110;14120;200;7110;14120;1824,4262;6295,6;1824,4262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;4Cap50.txt;600;15,09;0;11160,0;1974,0;1973,8116364;200;7110;14120;200;7110;14120;0,0;118729,7;0,0;1826,0305;2117,8;3,79;292;600;11;6;;85;;28;292;600;11;6;;;85;;28;292;600;11;6;;;;85;;28;292;600;11;6;;85;;28
GUROBI;4Cap50.txt;600;23,94;0;21542,0;1974,0;1974,0;200;7110;14120;200;7110;14120;722,5;5394,3;722,5;1778,123;2516,7;0,0;272;484;23;38;;121;49;3;272;484;23;38;;;121;49;3;272;484;23;38;;;;121;49;3;272;484;23;38;;121;49;3
CBC;4Cap50.txt;600;178,49;0;4394;1974,0;1974,0;200;7110;14120;200;7110;14120;1824,4262;6295,6;1824,4262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;5Cap10.txt;120;10,98;0;6741,0;2974,5;2974,262168;200;7053;14006;197;1722;3347;0,0;34803,9;0,0;2941,6607;3000,6;3,16;70;395;7;8;;43;;29;70;395;7;8;;;43;;29;70;395;7;8;;;;43;;29;70;395;7;8;;43;;29
GUROBI;5Cap10.txt;120;11,74;0;11369,0;2974,5;2974,5;200;7053;14006;200;7053;14006;2274,7;7222,2;2274,7;2920,73725;3105,7;0,0;49;159;127;34;;108;26;4;49;159;127;34;;;108;26;4;49;159;127;34;;;;108;26;4;49;159;127;34;;108;26;4
CBC;5Cap10.txt;120;119,93;1,6238563187550212;6708;2981,6;2933,1831;200;7053;14006;200;7053;14006;2933,1831;3816,7;2933,1831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;5Cap10.txt;300;10,96;0;6741,0;2974,5;2974,262168;200;7053;14006;197;1722;3347;0,0;34803,9;0,0;2941,6607;3000,6;3,15;70;395;7;8;;43;;29;70;395;7;8;;;43;;29;70;395;7;8;;;;43;;29;70;395;7;8;;43;;29
GUROBI;5Cap10.txt;300;11,76;0;11369,0;2974,5;2974,5;200;7053;14006;200;7053;14006;2274,7;7222,2;2274,7;2920,73725;3105,7;0,0;49;159;127;34;;108;26;4;49;159;127;34;;;108;26;4;49;159;127;34;;;;108;26;4;49;159;127;34;;108;26;4
CBC;5Cap10.txt;300;170,04;0;9599;2974,5;2974,5;200;7053;14006;200;7053;14006;2933,1831;3816,7;2933,1831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;5Cap10.txt;600;10,93;0;6741,0;2974,5;2974,262168;200;7053;14006;197;1722;3347;0,0;34803,9;0,0;2941,6607;3000,6;3,17;70;395;7;8;;43;;29;70;395;7;8;;;43;;29;70;395;7;8;;;;43;;29;70;395;7;8;;43;;29
GUROBI;5Cap10.txt;600;11,76;0;11369,0;2974,5;2974,5;200;7053;14006;200;7053;14006;2274,7;7222,2;2274,7;2920,73725;3105,7;0,0;49;159;127;34;;108;26;4;49;159;127;34;;;108;26;4;49;159;127;34;;;;108;26;4;49;159;127;34;;108;26;4
CBC;5Cap10.txt;600;170,41;0;9599;2974,5;2974,5;200;7053;14006;200;7053;14006;2933,1831;3816,7;2933,1831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;5Cap20.txt;120;11,24;0;7497,0;2176,2;2175,9834008;200;7053;14006;200;4286;8472;0,0;56083,8;0,0;2111,3778;2224,0;2,65;161;709;14;9;;64;;38;161;709;14;9;;;64;;38;161;709;14;9;;;;64;;38;161;709;14;9;;64;;38
GUROBI;5Cap20.txt;120;21,15;0;15120,0;2176,2;2176,2;200;7053;14006;200;7053;14006;1406,3;6035,3;1406,3;2091,66488;2345,9;0,0;101;244;137;27;;162;34;7;101;244;137;27;;;162;34;7;101;244;137;27;;;;162;34;7;101;244;137;27;;162;34;7
CBC;5Cap20.txt;120;119,91;5,154441532622435;5434;2213,2;2099,1219;200;7053;14006;200;7053;14006;2099,1219;6659,1;2099,1219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPLEX;5Cap20.txt;300;11,31;0;7497,0;2176,2;2175,9834008;200;7053;14006;200;4286;8472;0,0;56083,8;0,0;2111,3778;2224,0;2,71;161;709;14;9;;64;;38;161;709;14;9;;;64;;38;161;709;14;9;;;;64;;38;161;709;14;9;;64;;38
